Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
1,1,1,15,63,15,63,817.159428,34.800000000000004,851.959428,0.0007630675314765357,0.026845637583892617,0,0,67.60301411674934,116.43288590604026,118.0,-6.882887292529541e-12,0.5304811659114324,0.5425094532278606,0.5196181847883644,0.9505224,0.029,0.9795224,0.94284,0.029,0.97184
2,1,1,15,63,15,63,814.819338,38.160000000000004,852.979338,0.0007652573177731012,0.024539877300613498,0,0,67.60330973789937,115.92331288343557,118.0,-6.882887292529541e-12,0.5335136418730257,0.5467299753771117,0.5226301769842728,0.9478004,0.0318,0.9796004,0.94014,0.0318,0.97194
3,1,1,15,63,15,63,814.6633320000001,38.64,853.3033320000001,0.00038284839203675346,0.012269938650306749,0,0,67.55168453292495,113.2116564417178,118.0,-6.882887292529541e-12,0.5339407144977695,0.5473241725001778,0.5231652213424424,0.9476189333333334,0.0322,0.9798189333333334,0.93996,0.0322,0.97216
4,1,1,15,63,15,63,815.755374,36.48,852.235374,0.0009552923194497516,0.03184713375796178,0,0,67.62896446312573,117.53821656050955,118.0,-6.882887292529541e-12,0.532004610726027,0.5446300367968755,0.5209863696342024,0.9488892,0.0304,0.9792892,0.94122,0.0304,0.97162
5,1,1,15,63,15,63,814.039308,39.6,853.639308,0.0005746025665581306,0.017857142857142856,0,0,67.57757134648536,114.44642857142858,118.0,-6.882887292529541e-12,0.534808542436232,0.5485314516640727,0.5240551827273695,0.9468930666666666,0.033,0.9798930666666666,0.93924,0.033,0.97224
6,1,1,15,63,15,63,814.195314,39.12,853.3153140000001,0.0007658433850277618,0.023952095808383235,0,0,67.60338885697874,115.79341317365268,118.0,-6.882887292529541e-12,0.5343810525407606,0.5479367746393123,0.5235195082700451,0.9470745333333334,0.0326,0.9796745333333333,0.93942,0.0326,0.97202
7,1,1,15,63,15,63,814.507326,39.6,854.1073260000001,0.00019149751053236308,0.006024096385542169,0,0,67.52585216392187,111.83132530120481,118.0,-6.882887292529541e-12,0.5347885898435253,0.5485036969264288,0.524326770228425,0.9474374666666666,0.033,0.9804374666666666,0.93978,0.033,0.97278
8,1,1,15,63,15,63,812.79126,40.559999999999995,853.3512599999999,0.0011503067484662577,0.03428571428571429,0,0,67.65529141104295,118.07714285714285,118.0,-6.882887292529541e-12,0.5357048652655393,0.5497781528105642,0.5245843465357803,0.9454413333333334,0.0338,0.9792413333333333,0.9378,0.0338,0.9716
9,1,1,15,63,15,63,815.4433620000001,37.44,852.883362,0.0007646721468170522,0.025,0,0,67.6032307398203,116.025,118.0,-6.882887292529541e-12,0.5328575817930818,0.5458170877392823,0.522054569275164,0.9485262666666666,0.0312,0.9797262666666666,0.94086,0.0312,0.97206
10,1,1,15,63,15,63,813.57129,40.559999999999995,854.1312899999999,0.00019171779141104295,0.0058823529411764705,0,0,67.52588190184049,111.8,118.0,-6.882887292529541e-12,0.5356707196817005,0.5497306636390977,0.5250369416683925,0.9463486666666666,0.0338,0.9801486666666667,0.9387,0.0338,0.9725
