"Seed,WiFi,Gnb,ChannelOccupancyWiFi,ChannelEfficiencyWiFi,PcolWifi,ChannelOccupancyNR,ChannelEfficiencyNR,PcolNR,ChannelOccupancyAll,ChannelEfficiencyAll"
1,1,4,15,63,15,63,754.4450160000001,123.84,878.2850160000002,0.0006199628022318661,0.005780346820809248,0,0,118.0,-6.882887292529541e-12,0.6159930055982604,0.26913625772239236,0.6041491848810215,0.8775728,0.1032,0.9807728,0.87048,0.1032,0.97368
2,1,4,15,63,15,63,756.317088,118.80000000000001,875.117088,0.0024691358024691358,0.023668639053254437,0,0,118.0,-6.882887292529541e-12,0.6111246980203482,0.26602595274641316,0.598138542637295,0.8797504,0.099,0.9787504,0.87264,0.099,0.97164
3,1,4,15,63,15,63,741.3405120000001,140.4,881.7405120000001,0.001890359168241966,0.015151515151515152,0,0,118.0,-6.882887292529541e-12,0.6332264423675904,0.2803102561823199,0.6201373985132754,0.8623296,0.117,0.9793296,0.85536,0.117,0.97236
1,1,5,15,63,15,63,724.023846,159.84,883.8638460000001,0.006422607578676943,0.04310344827586207,0,0,118.0,-6.882887292529542e-12,0.6542999521439564,0.24592929876459133,0.6381955365618468,0.8421868,0.1332,0.9753868,0.83538,0.1332,0.96858
2,1,5,15,63,15,63,742.744566,138.24,880.984566,0.00251414204902577,0.02040816326530612,0,0,118.0,-6.882887292529542e-12,0.6310098104531291,0.232761575423836,0.6178613328307552,0.8639628,0.1152,0.9791628,0.85698,0.1152,0.97218
3,1,5,15,63,15,63,722.151774,164.16,886.311774,0.004516129032258065,0.029787234042553193,0,0,-6.882887292529541e-12,23.5999999999945,0.6586477251742721,0.24840168538238297,0.6433731575093006,0.8400092,0.1368,0.9768092,0.83322,0.1368,0.97002
1,2,1,15,63,15,63,782.526096,18.0,800.526096,0.11487559555320276,0.038461538461538464,0,0,58.99999999999656,-6.882887292529541e-12,0.5164747542963004,0.6965923510782938,0.4778614489458952,0.9102368,0.015,0.9252368,0.90288,0.015,0.91788
2,2,1,15,63,15,63,784.8661860000001,20.88,805.7461860000001,0.1056,0.06451612903225806,0,0,58.99999999999656,-6.882887292529541e-12,0.5190519899507412,0.7016041818622563,0.4829045865081837,0.9129588,0.0174,0.9303588,0.90558,0.0174,0.92298
3,2,1,15,63,15,63,778.3139340000001,20.88,799.1939340000001,0.11917372881355932,0.03333333333333333,0,0,-6.882887292529541e-12,-3.010299956643254,0.519212261570953,0.7014800029949259,0.4790964684476488,0.9053372,0.0174,0.9227372,0.89802,0.0174,0.91542
1,2,2,15,63,15,63,763.337358,42.480000000000004,805.817358,0.12170166935918147,0.0,0,0,58.99999999999656,-6.882887292529541e-12,0.5398053473945499,0.5548025359434382,0.4984111300570852,0.8879164,0.0354,0.9233164,0.88074,0.0354,0.91614
2,2,2,15,63,15,63,756.785106,38.160000000000004,794.945106,0.14035087719298245,0.05357142857142857,0,0,58.99999999999656,-6.882887292529541e-12,0.5360771826451441,0.5502554940700496,0.4889532106892862,0.8802948,0.0318,0.9120948,0.87318,0.0318,0.90498
3,2,2,15,63,15,63,785.3342040000001,28.080000000000002,813.4142040000002,0.09492988133764833,0.0,0,0,-6.882887292529541e-12,58.99999999999656,0.5255988767855662,0.5353891737022612,0.49243526957680267,0.9135032,0.0234,0.9369032,0.90612,0.0234,0.92952
1,2,3,15,63,15,63,771.7616820000001,43.92,815.681682,0.09989082969432314,0.046875,0,0,58.99999999999656,-6.882887292529541e-12,0.5407024944719558,0.44569744795984934,0.5051867755440621,0.8977156,0.0366,0.9343156,0.89046,0.0366,0.92706
2,2,3,15,63,15,63,772.2297000000001,42.480000000000004,814.7097000000001,0.10130718954248366,0.03278688524590164,0,0,58.99999999999656,-6.882887292529541e-12,0.5393484126424136,0.44431435866153335,0.503568038947716,0.89826,0.0354,0.93366,0.891,0.0354,0.9264
3,2,3,15,63,15,63,762.8693400000001,48.24,811.1093400000001,0.11364872213159326,0.014705882352941176,0,0,58.99999999999656,-6.882887292529541e-12,0.5452095249199093,0.45086704629826346,0.5057210894490101,0.887372,0.0402,0.927572,0.8802,0.0402,0.9204
